trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2022-02-07,4.69,4.75,4.67,4.74,2575288.6,0.0955,1.62,5.3477,0.5997,1.9139,168936565.8602,5.6118,20220207,1.971,9.24399,4.13416,9.34254,4.17824,9.36225,4.18705,9.20457,4.11653,9.18486,4.10772,0.007,0.009,-0.004,50.475,44.97,61.486,63.44,58.277,55.593,4.2,4.147,4.093,73.944
2022-02-08,4.74,4.87,4.73,4.85,4919720.42,0.1825,2.7,5.4718,0.6136,1.9584,172857034.6882,5.4845,20220208,1.971,9.34254,4.17824,9.55935,4.2752,9.59877,4.29283,9.32283,4.16942,9.34254,4.17824,0.018,0.011,0.013,63.809,51.249,88.928,78.235,69.403,63.026,4.23,4.154,4.078,268.305
2022-02-09,4.85,4.9,4.81,4.84,3522095.36,0.1306,1.43,5.4605,0.6123,1.9543,172500628.4311,5.4959,20220209,1.971,9.55935,4.2752,9.53964,4.26639,9.6579,4.31928,9.48051,4.23994,9.55935,4.2752,0.025,0.014,0.022,67.539,56.679,89.259,74.928,67.615,62.041,4.25,4.16,4.07,238.731
2022-02-10,4.85,4.87,4.8,4.86,2527509.88,0.0937,0.86,5.4831,0.6148,1.9624,173213440.9453,5.4733,20220210,1.971,9.55935,4.2752,9.57906,4.28402,9.59877,4.29283,9.4608,4.23113,9.53964,4.26639,0.031,0.017,0.028,72.804,62.054,94.303,77.237,69.338,63.24,4.272,4.167,4.062,160.118
2022-02-11,4.84,4.89,4.83,4.87,2168130.19,0.0804,0.69,5.4944,0.6161,1.9664,173569847.2023,5.462,20220211,1.971,9.53964,4.26639,9.59877,4.29283,9.63819,4.31046,9.51993,4.25757,9.57906,4.28402,0.037,0.021,0.032,77.703,67.27,98.567,78.43,70.203,63.836,4.291,4.173,4.055,138.789
2022-02-14,4.85,4.86,4.77,4.8,2639674.46,0.0979,0.84,5.4154,0.6072,1.9382,171075003.4027,5.5417,20220214,1.971,9.55935,4.2752,9.4608,4.23113,9.57906,4.28402,9.40167,4.20468,9.59877,4.29283,0.036,0.024,0.024,71.246,68.596,76.547,54.465,57.76,57.076,4.296,4.175,4.054,65.383
2022-02-15,4.79,4.82,4.75,4.76,1957490.99,0.0726,0.62,5.3702,0.6022,1.922,169649378.3744,5.5882,20220215,1.971,9.44109,4.22231,9.38196,4.19587,9.50022,4.24876,9.36225,4.18705,9.4608,4.23113,0.032,0.026,0.013,61.386,66.193,51.774,45.03,52.013,53.687,4.297,4.176,4.055,24.401
2022-02-16,4.77,4.81,4.75,4.78,1554567.01,0.0577,0.61,5.3928,0.6047,1.9301,170362190.8885,5.5649,20220216,1.971,9.40167,4.20468,9.42138,4.2135,9.48051,4.23994,9.36225,4.18705,9.38196,4.19587,0.03,0.027,0.007,57.591,63.325,46.122,50.206,54.483,55.078,4.3,4.178,4.056,24.242
2022-02-17,4.78,4.81,4.77,4.78,1275750.79,0.0473,0.59,5.3928,0.6047,1.9301,170362190.8885,5.5649,20220217,1.971,9.42138,4.2135,9.42138,4.2135,9.48051,4.23994,9.40167,4.20468,9.42138,4.2135,0.028,0.027,0.002,54.336,60.329,42.35,50.206,54.483,55.078,4.303,4.18,4.058,26.361
2022-02-18,4.77,4.82,4.76,4.81,1598895.48,0.0593,0.83,5.4267,0.6085,1.9422,171431409.6598,5.5302,20220218,1.971,9.40167,4.20468,9.48051,4.23994,9.50022,4.24876,9.38196,4.19587,9.42138,4.2135,0.028,0.027,0.002,51.91,57.523,40.685,58.621,58.314,57.18,4.309,4.186,4.064,31.856
